ABOX;TBOX;POS;POS_size;POS_density;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_1.0;1000;1;75671;0.2649998665;4;3.338000059;27228;1.278000116;4.881000042;37088;2.961999893;26137;53365;0.3169999123;88.94599986;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos1000_prob_1.0;1000;1;75679;0.2029998302;2;2.892000198;17143;0.8629999161;3.958999872;37102;2.368999958;19534;36677;0.388999939;94.98900008;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos1000_prob_1.0;1000;1;75678;0.1959998608;1;2.950000048;8704;0.8900001049;4.036000013;37116;2.552000046;12410;21114;0.3109998703;112.7509999;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.1;500;0.1;75678;0.3169999123;152;4.200000048;0;0.7619998455;5.278999805;37116;3.069000006;0;421;9.592999935;223.2689998;421
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.1;500;0.1;75671;0.2249999046;2;3.400000095;0;0.5620000362;4.187000036;37088;2.917999983;0;90;0.4289999008;225.1439998;90
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.2;500;0.2;75671;0.2400000095;18;3.335000038;27854;0.6519999504;4.226999998;37088;2.893000126;26468;54322;0.2239999771;84.03900003;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos500_prob_0.2;500;0.2;75679;0.2179999352;4;4.203999996;10272;0.5859999657;5.007999897;37102;3.440999985;13663;24010;0.2259998322;142.9029999;75
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.2;500;0.2;75678;0.2229998112;46;3.380000114;2979;0.7950000763;4.398000002;37116;6.232000113;5206;8185;1.183000088;194.2160001;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.3;500;0.3;75671;0.2179999352;4;3.190000057;5330;0.6619999409;4.069999933;37088;2.947000027;8548;13878;0.2219998837;169.5149999;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos500_prob_0.3;500;0.3;75679;0.2190001011;1;3.648999929;2394;0.5780000687;4.446000099;37102;2.855000019;4422;6816;0.2430000305;190.043;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.3;500;0.3;75678;0.2479999065;22;3.734999895;605;0.626999855;4.610999823;37116;2.901000023;1264;1869;0.4800000191;210.9000001;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.4;500;0.4;75678;0.2179999352;1;3.414999962;8842;0.6600000858;4.292999983;37116;2.861000061;12558;21400;0.3329999447;144.8180001;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.4;500;0.4;75671;0.242000103;55;3.247999907;5440;0.9190001488;4.409000158;37088;2.853000164;8747;14187;0.4260001183;174.5410001;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos500_prob_0.4;500;0.4;75679;0.3439998627;23;3.648999929;2664;0.7620000839;4.754999876;37102;2.876999855;4822;7486;0.3090000153;191.046;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5;500;0.5;75679;0.2240002155;84;3.625;11392;1.337999821;5.187000036;37102;2.900000095;14748;26153;0.3450000286;141.71;13
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5;500;0.5;75671;0.2319998741;1;3.22300005;7979;0.5529999733;4.007999897;37088;2.99000001;11410;19389;0.1899998188;155.9169998;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5;500;0.5;75678;0.2239999771;1;4.467999935;7337;0.6750001907;5.367000103;37116;2.976999998;10899;18236;0.4249999523;157.5880001;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.6;500;0.6;75671;0.2279999256;2;3.364000082;25349;0.6899998188;4.281999826;37088;2.878000021;25150;50499;0.1640000343;86.54100013;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos500_prob_0.6;500;0.6;75679;0.2170000076;3;3.536999941;9506;0.6419999599;4.395999908;37102;2.869000196;12998;22504;0.1969997883;149.4809999;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.6;500;0.6;75678;0.2929999828;3;4.019999981;309;0.6420001984;4.955000162;37116;3.483999968;664;973;0.2349998951;215.3069999;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.7;500;0.7;75671;0.2060000896;11;3.486000061;17335;0.6629998684;4.355000019;37088;2.802999973;19665;37000;0.1840000153;122.7720001;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos500_prob_0.7;500;0.7;75679;0.2319998741;1;3.559000015;11493;0.6070001125;4.398000002;37102;2.911000013;14970;26463;0.1689999104;139.2249999;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.7;500;0.7;75678;0.3459999561;1;4.077000141;9245;0.6319999695;5.055000067;37116;3.397000074;12820;22065;0.1849999428;143.7720001;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.8;500;0.8;75671;0.245000124;148;3.588999987;15213;2.652999878;6.486999989;37088;2.91899991;18084;33297;0.2660000324;127.493;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.8;500;0.8;75678;0.243999958;3;3.394999981;7032;0.5429999828;4.181999922;37116;2.796999931;10681;17713;0.1710000038;156.441;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos500_prob_0.8;500;0.8;75679;0.2079999447;1;3.57400012;2359;0.6769998074;4.458999872;37102;2.825999975;4379;6738;0.1850001812;188.1960001;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.9;500;0.9;75678;0.2260000706;1;3.467999935;13316;0.5839998722;4.277999878;37116;2.898999929;16564;29880;0.1529998779;133.6619999;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.9;500;0.9;75671;0.2430000305;4;3.417000055;7706;0.5569999218;4.217000008;37088;2.877000093;11493;19199;0.2080001831;154.4980001;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos500_prob_0.9;500;0.9;75679;0.2350001335;1;3.592999935;7675;0.5850000381;4.413000107;37102;2.845000029;11230;18905;0.1959998608;154.3049998;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_1.0;500;1;75671;0.2179999352;3;4.046000004;8281;0.6540000439;4.917999983;37088;2.837000132;11886;20167;0.1769998074;144.1789999;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos500_prob_1.0;500;1;75679;0.3339998722;37;3.631999969;5311;0.8960001469;4.861999989;37102;2.796999931;8628;13939;0.1859998703;172.1659999;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_1.0;500;1;75678;0.2309999466;10;3.509000063;1458;0.632999897;4.372999907;37116;3.00999999;2841;4299;0.1770000458;199.75;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_prob_0.2;100;0.2;75679;0.2189998627;29;3.311000109;2869;0.3139998913;3.843999863;37102;2.735999823;5178;8673;0.5539999008;176.7079999;626
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.3;100;0.3;75678;0.1840000153;3;3.000999928;8774;0.2670001984;3.452000141;37116;2.64199996;12259;21702;0.1480000019;140.99;669
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.4;100;0.4;75671;0.2050001621;1;3.053999901;3096;0.3350000381;3.594000101;37088;2.766000032;5567;8663;0.1180000305;178.2449999;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_prob_0.4;100;0.4;75679;0.1909999847;86;3.673000097;2959;0.3379998207;4.201999903;37102;2.672999859;5215;8174;0.8120000362;181.9160001;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.4;100;0.4;75678;0.2890000343;58;4.530999899;1498;0.3970000744;5.217000008;37116;3.501000166;2878;4376;0.6889998913;198.184;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.5;100;0.5;75671;0.2349998951;115;3.332000017;8698;0.5810000896;4.148000002;37088;2.88499999;12187;20885;0.5290000439;152.016;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.6;100;0.6;75678;0.2650001049;6;3.963999987;7283;0.4309999943;4.660000086;37116;2.82400012;10772;18055;0.1179997921;155.0999999;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.6;100;0.6;75671;0.2590000629;1;3.200000048;5899;0.3299999237;3.789000034;37088;2.851999998;9351;15250;0.09599995613;153.7939999;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_prob_0.6;100;0.6;75679;0.2139999866;45;3.667999983;2992;0.3600001335;4.242000103;37102;3.038000107;5343;8335;0.2690000534;188.7610002;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.7;100;0.7;75671;0.2660000324;13;3.602999926;17045;0.3820002079;4.251000166;37088;3.470000029;19395;36440;0.08099985123;114.8729999;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.7;100;0.7;75678;0.3880000114;46;3.569999933;2860;0.5329999924;4.490999937;37116;3.885999918;5262;8122;0.2459998131;179.7679999;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.8;100;0.8;75671;0.1850001812;62;3.257999897;4403;0.4660000801;3.909000158;37088;2.809000015;7375;11778;0.1990001202;172.0420001;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.8;100;0.8;75678;0.2309999466;3;3.427999973;4413;0.3020000458;3.960999966;37116;2.893000126;7299;11712;0.1489999294;176.875;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_prob_0.8;100;0.8;75679;0.2990000248;1;4.340000153;2971;0.3729999065;5.012000084;37102;3.463999987;5316;8287;0.09599995613;190.967;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.9;100;0.9;75671;0.2149999142;1;3.311000109;25690;0.4110000134;3.937000036;37088;2.79399991;25236;50926;0.0569999218;96.57099986;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_prob_0.9;100;0.9;75679;0.253000021;3;3.644999981;14238;0.3289999962;4.227999926;37102;2.822999954;17558;31796;0.06900000572;112.734;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.9;100;0.9;75678;0.246999979;1;4.365999937;7300;0.4850001335;5.09800005;37116;3.289999962;10919;18219;0.07299995422;148.4909999;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_1.0;100;1;75671;0.3090000153;1;4.136999846;18282;0.8360002041;5.282000065;37088;3.84100008;20284;38566;0.05800008774;105.5840001;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos100_prob_1.0;100;1;75678;0.2239999771;1;3.559000015;5771;0.4010000229;4.184000015;37116;3.188999891;9097;14868;0.08399987221;166.507;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_prob_1.0;100;1;75679;0.3659999371;43;4.351000071;4522;0.4749999046;5.191999912;37102;3.003999949;7627;12149;0.2880001068;177.3540001;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.1;100;0.1;75671;0.1780002117;7;3.359999895;0;0.2119998932;3.75;37088;2.099000216;0;0;0.3919999599;177.4420002;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_prob_0.1;100;0.1;75679;0.1670000553;11;4.044999838;0;0.2080001831;4.420000076;37102;2.403999805;0;0;0.4719998837;192.358;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.1;100;0.1;75678;0.1710000038;478;4.103999853;0;0.3919999599;4.666999817;37116;2.608999968;0;0;11.50699997;205.9809999;0
