ABOX;TBOX;POS;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl_ABox_size;cl_ABox_time;all_supports_size;all_supports_time;cpi_repair_size;cpi_repair_time;cpi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;onlycpi-repair
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_pos100_prob_0.3.txt;75671;0.315000057220459;119;3.40299987792969;0;0.39900016784668;4.11700010299683;112759;2.65300011634827;128248;235.210999965668;809;11.6860001087189;252.613000154495;37088;2.83500003814697;0;809;3.33299994468689;236.016999959946;809
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_pos100_prob_0.5.txt;75671;0.307999849319458;9;2.87100005149841;0;0.323000192642212;3.50300002098083;112759;2.41400003433228;120121;241.31200003624;0;1.58400011062622;248.469000101089;37088;3.30900001525879;0;0;0.214999914169312;191.869999885559;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_pos100_prob_0.7.txt;75671;0.309000015258789;1;3.10500001907349;10114;0.296000003814697;3.7110002040863;112759;2.37299990653992;116615;237.15900015831;23493;1.20899987220764;243.773999929428;37088;2.75200009346008;13718;23832;0.085000038146973;125.578999996185;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_pos100_prob_0.9.txt;75671;0.275000095367432;19;3.09899997711182;35291;0.522000074386597;3.8970000743866;112759;2.30900001525879;114468;237.528000116348;62944;2.26999998092651;245.996999979019;37088;2.91499996185303;30279;65570;0.059999942779541;63.2230000495911;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.3.txt;75671;0.171000003814697;1;2.40700006484985;7400;0.786999940872192;3.36500000953674;112759;1.99200010299683;114024;199.657999992371;18152;1.71600008010864;205.743000030518;37088;2.20700001716614;10950;18350;0.407999992370606;102.162000179291;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.5.txt;75671;0.190999984741211;7;2.36199998855591;10157;0.716000080108643;3.26900005340576;112759;1.89999985694885;113261;198.384000062943;23505;3.36100006103516;205.973999977112;37088;2.13599991798401;13679;23836;0.427999973297119;91.7439999580383;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.7.txt;75671;0.217000007629395;1;2.36299991607666;4796;0.743000030517578;3.32299995422363;112759;1.87800002098084;113067;198.963000059128;12590;1.40599989891052;204.643000125885;37088;2.09099984169006;7888;12684;0.388999938964844;111.242000102997;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.9.txt;75671;0.196000099182129;3;3.29499983787537;36083;0.867000102996826;4.35800004005432;112759;1.90100002288818;112961;197.354000091553;64247;2.09699988365173;203.592000007629;37088;2.10400009155273;30784;66867;0.20799994468689;53.4509999752045;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_pos250_prob_0.3.txt;75671;0.205000162124634;1;3.30299997329712;3006;0.421000003814697;3.92900013923645;112759;2.40100002288818;118208;251.384999990463;8368;1.32500004768372;257.891000032425;37088;3.13500022888184;5398;8404;0.123999834060669;156.196999788284;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_pos250_prob_0.5.txt;75671;0.176999807357788;79;3.23600006103516;2414;0.526000022888184;3.93899989128113;112759;2.58099985122681;115639;256.369999885559;6846;14.9460000991821;276.542000055313;37088;3.22300004959106;4452;6866;0.560999870300293;165.81200003624;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_pos250_prob_0.7.txt;75671;0.308000087738037;1;2.94199991226196;2451;0.354000091552734;3.60400009155273;112759;2.46399998664856;113982;249.190999984741;7021;1.29200005531311;255.725000143051;37088;3.06299996376038;4590;7041;0.085000038146973;158.656999826431;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_pos250_prob_0.9.txt;75671;0.340999841690063;1;3.48900008201599;15035;0.45799994468689;4.28799986839294;112759;2.77600002288818;113401;249.126999855042;32297;1.02600002288818;256.253999948502;37088;2.59599995613098;17891;32926;0.079999923706055;91.2350001335144;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos2500_prob_0.3.txt;75671;0.263000011444092;2;2.3600001335144;5868;3.29900002479553;5.92200016975403;112759;1.93199992179871;113396;200.72000002861;14938;4.6029999256134;209.664000034332;37088;2.20700001716614;9186;15054;2.51999998092651;113.013000011444;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos2500_prob_0.5.txt;75671;0.261000156402588;2;2.44799995422363;8246;3.29099988937378;6;112759;2.01999998092651;112999;200.503999948502;19973;4.61300015449524;209.532999992371;37088;2.13499999046326;11973;20219;1.95299983024597;103.799999952316;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos2500_prob_0.7.txt;75671;0.200999975204468;1;2.41900014877319;943;3.3989999294281;6.01900005340576;112759;2.03800010681152;112885;202.575999975204;2867;4.18300008773804;211.133000135422;37088;2.1710000038147;1926;2869;2.15499997138977;139.809000015259;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos2500_prob_0.9.txt;75671;0.276999950408936;1;2.37700009346008;11117;3.1269998550415;5.78099989891052;112759;2.125;112846;202.069000005722;25471;4.42900013923645;211.042000055313;37088;2.20500016212463;14738;25855;1.97300004959106;93.9930000305176;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_pos50_prob_0.3.txt;75671;0.200000047683716;53;3.10899996757507;0;0.367000102996826;3.67600011825562;112759;2.80799984931946;125360;265.614000082016;0;4.22300004959106;277.944000005722;37088;2.8199999332428;0;0;0.872999906539917;193.144999980927;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_pos50_prob_0.5.txt;75671;0.32099986076355;10;3.20800018310547;5943;0.319000005722046;3.84800004959106;112759;2.76399993896484;120199;288.302999973297;15285;1.53299999237061;296.019000053406;37088;3.1489999294281;9456;15399;0.174000024795532;169.526999950409;0
