ABOX;TBOX;POS;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl_ABox_size;cl_ABox_time;all_supports_size;all_supports_time;cpi_repair_size;cpi_repair_time;cpi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cl_pi_repair_time;supports_time;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair;cl(π)-repair
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.4.txt;9158;0.0450000762939453;1;1.49599981307983;1447;0.065000057220459;1.60599994659424;25345;1.91400003433228;25660;37.2740001678467;4734;0.168999910354614;40.779000043869;16187;1.75300002098084;3287;2.38199996948242;28.1370000839233;4734;0.0360000133514404;33.6440000534058;0;4734
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_prob_0.2.txt;9156;0.0220000743865967;2;1.33500003814697;1994;0.0810000896453857;1.43800020217896;25337;1.62200021743774;25763;35.8889999389648;6352;0.208000183105469;39.1120002269745;16181;1.70700001716614;4358;2.77600002288818;27.3420000076294;6352;0.0479998588562012;33.3039999008179;0;6352
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos250_prob_0.1.txt;9158;0.0220000743865967;3;1.4060001373291;1809;0.116999864578247;1.54500007629395;25345;1.89599990844727;26342;36.6440000534058;5911;0.246999979019165;40.2569999694824;16187;1.64800000190735;4091;2.51899981498718;26.6840000152588;5911;0.0940001010894775;32.3510000705719;11;5900
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_prob_0.3.txt;9156;0.0219998359680176;1;1.35300016403198;3207;0.0839998722076416;1.45899987220764;25337;1.66299986839294;25586;36.6349999904633;9998;0.210999965667725;39.8079998493195;16181;1.58400011062622;6794;3.48399996757507;23.2369999885559;10001;0.0490000247955322;29.9869999885559;0;10001
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos250_prob_0.2.txt;9158;0.0260000228881836;1;1.69999980926514;1251;0.0980000495910645;1.82399988174438;25345;1.89199995994568;25697;37.8800001144409;4121;0.210999965667725;41.3849999904633;16187;1.66199994087219;2870;2.32399988174438;28.9030001163483;4121;0.0509998798370361;34.3959999084473;0;4121
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_prob_0.4.txt;9156;0.0219998359680176;2;1.3270001411438;2522;0.0910000801086426;1.44000005722046;25337;1.53600001335144;25470;37.2250001430511;8031;0.233999967575073;40.3389999866486;16181;1.63499999046326;5510;3.13300013542175;25.2079999446869;8032;0.0480000972747803;31.3440001010895;0;8032
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos250_prob_0.3.txt;9158;0.0349998474121094;37;1.39400005340576;1941;0.0970001220703125;1.52600002288818;25345;1.63400006294251;25585;35.7019999027252;6287;1.03400015830994;39.6860001087189;16187;1.617999792099;4347;2.73499989509583;28.125;6288;0.0590000152587891;33.930999994278;0;6288
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.1.txt;9156;0.0390000343322754;11;1.31900000572205;824;0.151999950408936;1.50999999046326;25337;1.6800000667572;25950;38.055999994278;2757;0.676000118255615;41.8800001144409;16181;1.68599987030029;1934;2.03999996185303;32.3450000286102;2758;0.134999990463257;37.8069999217987;0;2758
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos250_prob_0.4.txt;9158;0.0230000019073486;1;1.21000003814697;989;0.0800001621246338;1.31300020217896;25345;1.72999978065491;25467;36.2349998950958;3299;0.187000036239624;39.4359998703003;16187;1.68499994277954;2310;2.23999977111816;30.7150001525879;3299;0.0499999523162842;36.0320000648499;0;3299
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.2.txt;9156;0.0230000019073486;48;1.39300012588501;4579;0.319999933242798;1.73600006103516;25337;1.66300010681152;25530;36.6760001182556;13732;1.92999982833862;41.7730000019074;16181;1.74200010299683;9155;4.257000207901;18.3880000114441;13735;0.104999780654907;26.1339998245239;1;13734
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.3.txt;9156;0.0239999294281006;1;1.5239999294281;3346;0.172000169754028;1.72000002861023;25337;1.78500008583069;25442;35.6699998378754;10501;0.483999967575073;39.2760000228882;16181;1.93700003623962;7156;3.63199996948242;18.2300000190735;10502;0.101999998092651;25.6099998950958;0;10502
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.1.txt;9158;0.0360000133514404;1;1.42499995231628;32;0.144999980926514;1.60599994659424;25345;1.67300009727478;25968;36.9100000858307;110;0.280999898910522;40.1470000743866;16187;1.75300002098084;78;1.5550000667572;36.0249998569489;110;0.157000064849854;40.9170000553131;0;110
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.4.txt;9156;0.065000057220459;1;1.35899996757507;3431;0.165999889373779;1.58999991416931;25337;1.90000009536743;25415;36.2220001220703;10645;0.277999877929687;39.9609999656677;16181;1.64199995994568;7215;4.68099999427795;20.864000082016;10646;0.113999843597412;29.2330000400543;0;10646
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.2.txt;9158;0.0269999504089355;1;1.81299996376038;733;0.203999996185303;2.04399991035461;25345;2.17499995231628;25553;34.2669999599457;2474;0.441999912261963;38.9809999465942;16187;2.07500004768372;1741;2.1639997959137;34.805999994278;2474;0.130000114440918;40.8320000171661;0;2474
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos750_prob_0.1.txt;9156;0.0230000019073486;2;1.32399988174438;1998;0.273999929428101;1.62099981307983;25337;1.7519998550415;25737;36.2269999980926;6551;0.437999963760376;39.7649998664856;16181;1.52799987792969;4555;2.77100014686584;27.6699998378754;6553;0.232000112533569;33.9030001163483;0;6553
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.3.txt;9158;0.0299999713897705;23;1.60699987411499;1736;0.200999975204468;1.83799982070923;25345;1.62199997901917;25461;37.8659999370575;5616;1.1949999332428;41.9129998683929;16187;1.63400006294251;3880;2.49399995803833;28.4249999523163;5616;0.0980000495910645;34.239000082016;0;5616
