ABOX;TBOX;POS;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl_ABox_size;cl_ABox_time;all_supports_size;all_supports_time;cpi_repair_size;cpi_repair_time;cpi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cl_pi_repair_time;supports_time;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5.txt;75671;0.197000026702881;1;3.49900007247925;896;0.507999897003174;4.2039999961853;112759;1.91700005531311;113997;203.201999902725;2748;1.17199993133545;208.661000013351;37088;2.10999989509583;1856;1.81900000572205;129.430000066757;2752;0.158999919891357;136.636999845505
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5.txt;75678;0.183000087738037;28;2.42199993133545;2402;0.480000019073486;3.08500003814697;112794;1.90500020980835;114018;198.408999919891;6853;6.44000005722046;209.205000162125;37116;2.08499979972839;4486;2.67699980735779;115.963000059128;6888;0.219000101089478;124.105000019074
University0_p_0.00005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5.txt;75718;0.221999883651733;12;3.07100009918213;0;0.398000001907349;3.69099998474121;112904;1.90100002288818;114184;200.143000125885;0;3.27300000190735;208.164000034332;37186;2.18999981880188;0;1.24399995803833;135.138999938965;0;0.197999954223633;142.319999933243
University0_p_0.00015.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5.txt;75842;0.200000047683716;15;3.59999990463257;0;0.363000154495239;4.16300010681152;113234;1.92799997329712;114466;196.469000101089;0;3.93199992179871;206.180999994278;37394;2.09100008010864;0;1.3970000743866;139.513000011444;0;0.202000141143799;147.697000026703
University0_p_0.0005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5.txt;76255;0.191999912261963;33;4.48600006103516;0;0.443000078201294;5.12100005149841;114227;1.90199995040894;115493;206.295000076294;0;7.5939998626709;220.218999862671;37989;2.15300011634827;0;1.27300000190735;135.648000001907;0;0.30400013923645;144.463999986649
