new_method_ABox_size,new_method_Closure_size,new_method_Closure_time,new_method_Conflicts_size,new_method_Conflicts_time,new_method_Cpi_repair_size,new_method_Cpi_repair_time,new_method_Total_time,new_method_size_all_supports,old_method_ABox_size,old_method_Closure_size,old_method_Closure_time,old_method_Conflicts_size,old_method_Conflicts_time,old_method_Cpi_repair_size,old_method_Cpi_repair_time,old_method_Supports_time,old_method_Total_time,old_method_size_all_supports
1000,3028,3.1600000858306885,10,43.174999952316284,1449,0.14100003242492676,46.4760000705719,3028,1000,3028,2.6090002059936523,10,41.43400001525879,1449,0.09800004959106445,53.41199994087219,97.5530002117157,3028
1000,3109,3.072000026702881,100,43.251999855041504,0,0.1510000228881836,46.47499990463257,3109,1000,3109,2.859999895095825,100,43.23699998855591,0,0.5820000171661377,57.967000007629395,104.64599990844727,3109
1000,3089,3.0199999809265137,250,44.10899996757507,0,0.13199996948242188,47.26099991798401,3089,1000,3089,2.9700000286102295,250,42.876999855041504,0,1.3970000743865967,54.38499999046326,101.62899994850159,3089
10000,29787,2.9789998531341553,101,44.38300013542175,0,0.9900000095367432,48.35199999809265,29792,10000,29787,3.0409998893737793,101,46.28400015830994,0,5.009000062942505,535.4349999427795,589.7690000534058,29792
10000,30731,3.132000207901001,1002,45.21299982070923,0,0.5850000381469727,48.9300000667572,30737,10000,30731,2.884999990463257,1002,45.10700011253357,0,54.31500005722046,575.805999994278,678.1130001544952,30737
10000,31386,3.3580000400543213,2501,45.437999963760376,0,1.3450000286102295,50.14100003242493,31388,10000,31386,2.8469998836517334,2501,44.82100009918213,0,164.8619999885559,637.989000082016,850.5190000534058,31388
50000,148894,3.513000011444092,505,44.81599998474121,0,1.7290000915527344,50.05800008773804,148916,50000,148894,2.7960000038146973,505,42.801000118255615,0,115.7170000076294,2696.204999923706,2857.5190000534058,148916
50000,152230,3.9059998989105225,5035,46.81500005722046,0,2.3450000286102295,53.06599998474121,152359,50000,152230,3.11899995803833,5035,44.84599995613098,0,1354.25,2774.6549999713898,4176.869999885559,152359
50000,157031,4.002000093460083,12550,46.62599992752075,0,6.786999940872192,57.41499996185303,157201,50000,157031,3.310999870300293,12550,46.20700001716614,0,4055.5670001506805,2929.319000005722,7034.404000043869,157201
100000,298404,3.8529999256134033,1012,45.91100001335144,0,5.2820000648498535,55.0460000038147,298479,100000,298404,3.298999786376953,1012,47.63800001144409,0,1061.0659999847412,5742.132000207901,6854.134999990463,298479
100000,303868,4.328999996185303,10096,49.70899987220764,0,6.417999982833862,60.45599985122681,304233,100000,303868,3.4110000133514404,10096,46.7279999256134,0,5467.9329998493195,5965.291000127792,11483.362999916077,304233
100000,306454,3.8980000019073486,14110,47.30399990081787,0,3419.0640001296997,3470.266000032425,306897,100000,306454,3.440999984741211,14110,43.54700016975403,0,7596.227999925613,5756.983000040054,13400.199000120163,306897
