new_method_ABox_size,new_method_Closure_size,new_method_Closure_time,new_method_Conflicts_size,new_method_Conflicts_time,new_method_Cpi_repair_size,new_method_Cpi_repair_time,new_method_Total_time,new_method_size_all_supports,old_method_ABox_size,old_method_Closure_size,old_method_Closure_time,old_method_Conflicts_size,old_method_Conflicts_time,old_method_Cpi_repair_size,old_method_Cpi_repair_time,old_method_Supports_time,old_method_Total_time,old_method_assertions_in_conflict,old_method_size_all_supports
1965,9451,3.07099986076355,20,42.4300000667572,2146,0.2049999237060547,45.70599985122681,9623,1965,9451,2.8990001678466797,20,41.53499984741211,2146,0.1830000877380371,171.1050000190735,215.7220001220703,20,9623
1965,9630,3.2840001583099365,200,44.00499987602234,2015,0.3020000457763672,47.59100008010864,9795,1965,9630,2.9570000171661377,200,43.579999923706055,2015,0.6970000267028809,181.3860001564026,228.62000012397766,200,9795
1965,9798,2.8980000019073486,500,41.638999938964844,1815,0.625,45.16199994087219,9963,1965,9798,2.7799999713897705,500,44.176000118255615,1815,1.7159998416900635,181.52900004386902,230.20099997520447,500,9963
19657,94263,3.3410000801086426,200,43.93499994277954,22741,1.5169999599456787,48.79299998283386,98123,19657,94263,2.570000171661377,200,43.16799998283386,22741,6.653000116348267,1756.1929998397827,1808.5840001106262,200,98123
19657,94555,3.636000156402588,2006,46.550999879837036,0,2.17900013923645,52.366000175476074,98426,19657,94555,2.753000020980835,2006,44.543999910354614,0,65.42700004577637,1822.0060000419617,1934.7300000190735,2003,98426
19657,95632,3.6480000019073486,5020,48.007000207901,17671,18.33299994468689,69.98800015449524,99485,19657,95632,3.126999855041504,5020,47.84000015258789,17671,168.0550000667572,1894.2219998836517,2113.2439999580383,5008,99485
98257,452500,5.2779998779296875,1166,48.848999977111816,0,5.55400013923645,59.680999994277954,487655,98257,452500,3.2790000438690186,1166,55.170000076293945,0,176.98300004005432,10352.118999958038,10587.551000118256,1141,487655
98257,455400,5.5329999923706055,10340,51.509000062942505,0,12.009999990463257,69.05200004577637,490577,98257,455400,3.677000045776367,10340,59.94999980926514,0,1619.414999961853,10745.59400010109,12428.635999917984,10210,490577
98257,460008,5.457000017166138,25606,50.460999965667725,0,22.371000051498413,78.28900003433228,495143,98257,460008,3.5980000495910645,25606,62.932000160217285,0,4109.486999988556,10867.865999937057,15043.883000135422,25317,495143
