new_method_ABox_size,new_method_Closure_size,new_method_Closure_time,new_method_Conflicts_size,new_method_Conflicts_time,new_method_Cpi_repair_size,new_method_Cpi_repair_time,new_method_Total_time,new_method_size_all_supports,old_method_ABox_size,old_method_Closure_size,old_method_Closure_time,old_method_Conflicts_size,old_method_Conflicts_time,old_method_Cpi_repair_size,old_method_Cpi_repair_time,old_method_Supports_time,old_method_Total_time,old_method_assertions_in_conflict,old_method_size_all_supports
1000,3833,2.9799997806549072,72,59.28500008583069,0,0.15199995040893555,62.41699981689453,4325,1000,3833,3.0,72,58.98699998855591,0,0.18199992179870605,67.39000010490417,129.5590000152588,83,4325
1000,4716,3.047999858856201,794,60.0530002117157,8,1.11899995803833,64.22000002861023,5375,1000,4716,2.865999937057495,794,59.97099995613098,8,2.013000011444092,84.14000010490417,148.99000000953674,327,5375
1000,5248,2.940999984741211,1643,60.33899998664856,3,2.13700008392334,65.41700005531311,6099,1000,5248,2.996999979019165,1643,61.52300000190735,3,4.565000057220459,93.07399988174438,162.15899991989136,524,6099
10000,34968,3.5830001831054688,1782,62.14999985694885,0,2.871000051498413,68.60400009155273,41877,10000,34968,2.7269999980926514,1782,59.20299983024597,0,25.585000038146973,608.7160000801086,696.2309999465942,703,41877
10000,42691,3.3429999351501465,28098,64.94799995422363,0,40.598000049591064,108.88899993896484,52337,10000,42691,3.006999969482422,28098,59.90499997138977,0,517.414999961853,730.0840001106262,1310.4110000133514,3236,52337
10000,49535,3.2960000038146973,51495,63.05800008773804,0,77.89299988746643,144.24699997901917,61099,10000,49535,3.309999942779541,51495,63.72500014305115,0,1097.9660000801086,1462.2259998321533,2627.2269999980927,5156,61099
50000,175376,4.378000020980835,25643,69.60099983215332,0,40.980000019073486,114.95899987220764,214442,50000,175376,2.88100004196167,25643,60.36400008201599,0,1942.3389999866486,3099.845999956131,5105.430000066757,5340,214442
50000,210992,6.755999803543091,230548,74.6010000705719,0,388.09100008010864,469.44799995422363,264119,50000,210992,3.384999990463257,230548,73.27400016784668,0,20905.09500002861,4054.1429998874664,25035.897000074387,16508,264119
50000,238008,7.068000078201294,397370,67.35500001907349,0,643.4210000038147,717.8440001010895,304157,50000,238008,3.626999855041504,397370,68.69200015068054,0,42324.31700015068,4512.942999839783,46909.578999996185,25893,304157
