new_method_ABox_size,new_method_Closure_size,new_method_Closure_time,new_method_Conflicts_size,new_method_Conflicts_time,new_method_Cpi_repair_size,new_method_Cpi_repair_time,new_method_Total_time,new_method_size_all_supports,old_method_ABox_size,old_method_Closure_size,old_method_Closure_time,old_method_Conflicts_size,old_method_Conflicts_time,old_method_Cpi_repair_size,old_method_Cpi_repair_time,old_method_Supports_time,old_method_Total_time,old_method_size_all_supports,old_method_assertions_in_conflict
1000,2884,2.9130001068115234,10,42.68899989128113,2847,0.13000011444091797,45.73200011253357,2884,1000,2884,2.6649999618530273,10,42.79299998283386,2847,0.10800004005432129,52.4210000038147,97.98699998855591,2884,20
1000,3056,3.0739998817443848,100,43.41199994087219,2740,0.6380000114440918,47.12399983406067,3056,1000,3056,2.943999767303467,100,44.76300001144409,2740,0.6970000267028809,57.8970000743866,106.30099987983704,3056,200
1000,3224,3.065999984741211,250,45.026000022888184,2404,1.3450000286102295,49.437000036239624,3224,1000,3224,2.9529998302459717,250,44.74300003051758,2404,2.0909998416900635,59.24500012397766,109.03199982643127,3224,500
10000,30036,3.0880000591278076,100,44.48300004005432,29720,6.990999937057495,54.562000036239624,30036,10000,30036,2.739000082015991,100,42.515000104904175,29720,7.008000135421753,529.6799998283386,581.9420001506805,30036,200
10000,30335,3.1439998149871826,1001,46.91000008583069,27126,67.95099997520447,118.00499987602234,30339,10000,30335,2.809999942779541,1001,45.121999979019165,27126,75.26900005340576,543.3210000991821,666.5220000743866,30339,2000
10000,31392,3.3550000190734863,2502,50.20700001716614,23449,150.07500004768372,203.63700008392334,31398,10000,31392,2.940999984741211,2502,49.1010000705719,23449,206.17600011825562,609.1349999904633,867.353000164032,31398,5000
50000,150071,3.8289999961853027,503,48.41600012779236,148453,184.19599986076355,236.4409999847412,150089,50000,150071,3.5269999504089355,503,50.670000076293945,148453,178.30399990081787,2894.1019999980927,3126.6029999256134,150089,1000
50000,152938,3.884000062942505,5019,48.94600009918213,136941,1732.9049999713898,1785.7350001335144,153011,50000,152938,3.509999990463257,5019,52.317999839782715,136941,1888.4249999523163,2998.476000070572,4942.728999853134,153011,10000
50000,157476,3.6619999408721924,12532,51.15000009536743,117792,3796.0169999599457,3850.8289999961853,157577,50000,157476,3.2160000801086426,12532,50.12599992752075,117792,5139.745000123978,3137.8250000476837,8330.91200017929,157577,25000
